ID,slng,slat,elng,elat,duration,distance,elevation_difference,temperature,windSpeed,day_week,hour_day,restaurant,public facility,medical,accommodation,tourist attraction,transportation,education,TripType
58,8.520168,47.378556,8.496511,47.375247,520,1819,-5,10,13,0,13,0,0,0,1,0,0,0,1
59,8.548519,47.376756,8.515633,47.379584,500,2496,41,7,7,0,16,0,3,1,0,0,0,0,1
60,8.533314,47.37311,8.536068,47.377502,264,531,5,3,7,1,11,1,8,0,0,0,0,0,1
61,8.534843,47.362594,8.528796,47.383858,1121,2408,3,14,13,0,15,6,0,0,0,0,1,0,1
62,8.548045,47.370869,8.548562,47.36691,771,442,9,8,11,1,15,7,4,0,0,0,2,0,1
63,8.547195,47.382089,8.541251,47.378982,464,565,65,6,13,1,17,0,3,0,0,0,2,0,1
64,8.554397,47.369015,8.560476,47.368199,779,467,-21,1,2,0,10,1,1,0,0,0,3,0,1
65,8.525782,47.365194,8.515633,47.379584,780,1773,6,9,7,1,16,0,3,1,0,0,0,0,1
66,8.515252,47.381915,8.523548,47.371666,1246,1300,-2,6,4,0,9,4,3,0,0,0,5,0,1
67,8.525602,47.374241,8.523306,47.368939,868,614,-4,5,19,0,20,0,1,0,0,0,0,0,1
68,8.516676,47.375819,8.514176,47.366371,960,1067,-20,11,6,0,9,0,1,0,0,0,0,0,1
69,8.52714,47.372329,8.515633,47.379584,647,1184,-2,11,11,1,16,0,3,1,0,0,0,0,1
70,8.528647,47.382083,8.536068,47.377502,470,756,0,2,6,1,18,1,8,0,0,0,0,0,1
71,8.536068,47.377502,8.515633,47.379584,305,1556,-6,3,13,0,18,0,3,1,0,0,0,0,1
72,8.525782,47.365194,8.525602,47.374241,755,1006,8,2,6,1,10,3,4,0,0,0,2,0,1
73,8.548562,47.36691,8.535718,47.359675,819,1258,7,12,30,0,16,0,1,0,0,0,0,0,1
74,8.528553,47.37423,8.560922,47.361907,975,2796,-26,11,11,1,16,2,1,0,0,0,2,0,1
75,8.544935,47.366752,8.549852,47.35594,2047,1258,1,5,26,0,8,0,0,0,0,1,0,0,1
76,8.531836,47.378548,8.518432,47.369549,697,1421,-16,10,28,0,23,0,0,0,0,0,2,0,1
77,8.547781,47.361335,8.541251,47.378982,1047,2023,-4,4,7,0,15,0,3,0,0,0,2,0,1
78,8.507056,47.371455,8.523548,47.371666,678,1242,7,8,33,0,11,4,3,0,0,0,5,0,1
79,8.530437,47.37271,8.523306,47.368939,438,681,-3,5,15,1,18,0,1,0,0,0,0,0,1
80,8.544935,47.366752,8.531836,47.378548,948,1641,5,10,6,0,15,0,0,0,0,0,1,1,1
81,8.528647,47.382083,8.523818,47.377148,208,658,-6,6,2,1,18,2,2,0,0,0,0,0,1
82,8.520449,47.388151,8.510405,47.389934,666,782,1,10,30,0,2,0,0,0,0,0,0,0,1
83,8.530615,47.36479,8.52174,47.365272,470,671,-1,4,19,0,8,0,1,0,0,0,0,0,1
84,8.518982,47.386741,8.523549,47.392347,383,712,1,5,22,0,17,0,2,0,0,0,1,0,1
85,8.496727,47.378521,8.536068,47.377502,1035,2964,1,3,24,0,15,1,8,0,0,0,0,0,1
86,8.531935,47.384918,8.51817,47.391784,1030,1287,7,10,6,0,15,1,0,0,0,0,1,0,1
87,8.498196,47.385919,8.510418,47.381356,462,1051,-4,2,9,0,5,0,3,0,0,0,0,0,1
88,8.51817,47.391784,8.528074,47.393309,1111,765,-25,8,9,1,16,0,1,0,0,0,1,0,1
89,8.533736,47.366904,8.535718,47.359675,1343,818,11,-2,0,1,6,0,1,0,0,0,0,0,1
90,8.52174,47.365272,8.53545,47.382798,3130,2205,5,14,11,0,17,0,2,0,0,0,1,1,1
91,8.536068,47.377502,8.549852,47.35594,723,2613,0,2,6,0,8,0,0,0,0,1,0,0,1
92,8.518982,47.386741,8.512381,47.393409,551,893,5,10,7,1,15,1,0,0,0,0,1,0,1
93,8.52689,47.3767,8.544935,47.366752,1165,1752,4,4,4,1,21,5,1,2,0,0,5,0,1
94,8.544935,47.366752,8.530615,47.36479,631,1100,-6,3,9,1,6,3,6,0,0,0,4,0,1
95,8.528796,47.383858,8.493822,47.398555,1355,3099,10,3,6,1,18,0,1,0,0,0,3,0,1
96,8.541453,47.397293,8.543768,47.411057,416,1540,33,6,17,0,17,1,2,0,1,0,4,0,1
97,8.536068,47.377502,8.516676,47.375819,770,1472,-4,11,11,1,16,6,3,1,0,0,1,0,1
98,8.53001,47.372475,8.536068,47.377502,463,721,5,10,30,0,16,1,8,0,0,0,0,0,1
99,8.52306,47.359872,8.527298,47.370141,576,1186,6,-3,2,1,7,0,0,0,0,0,1,0,1
100,8.531836,47.378548,8.516676,47.375819,565,1181,-8,4,4,0,20,6,3,1,0,0,1,0,1
101,8.534974,47.402164,8.531935,47.384918,757,1931,50,4,22,0,8,0,5,0,0,0,4,0,1
102,8.536068,47.377502,8.523548,47.371666,1832,1145,-5,6,2,1,18,4,3,0,0,0,5,0,1
103,8.510488,47.377153,8.523722,47.3899,827,1733,4,10,6,0,21,0,1,0,0,0,1,0,1
104,8.528647,47.382083,8.52174,47.365272,789,1940,-8,7,13,0,12,0,1,0,0,0,0,0,1
105,8.525525,47.361567,8.52689,47.3767,565,1686,7,1,20,1,19,7,4,0,1,0,2,0,1
106,8.528553,47.37423,8.531836,47.378548,1385,540,13,10,24,0,20,0,0,0,0,0,1,1,1
107,8.514841,47.370238,8.528074,47.393309,1972,2752,-2,9,7,1,18,0,1,0,0,0,1,0,1
108,8.514176,47.366371,8.536068,47.377502,608,2062,24,4,7,0,9,1,8,0,0,0,0,0,1
109,8.493822,47.398555,8.486284,47.387685,1274,1335,-4,8,7,0,11,0,2,0,1,0,1,0,1
110,8.514138,47.374206,8.536068,47.377502,777,1692,13,12,26,0,14,1,8,0,0,0,0,0,1
111,8.544185,47.412732,8.558096,47.413032,460,1047,19,2,7,0,19,0,1,0,0,0,0,0,1
112,8.530437,47.37271,8.536068,47.377502,590,681,5,5,22,0,18,1,8,0,0,0,0,0,1
113,8.536101,47.371083,8.528074,47.393309,1249,2544,-23,8,7,1,17,0,1,0,0,0,1,0,1
114,8.523818,47.377148,8.528553,47.37423,337,482,-3,10,28,0,5,3,3,0,0,0,1,0,1
115,8.544185,47.412732,8.556346,47.409547,557,981,16,4,2,1,20,0,0,0,0,0,1,0,1
116,8.510405,47.389934,8.518982,47.386741,4677,737,-4,6,4,1,17,2,1,0,0,0,3,0,1
117,8.506823,47.407812,8.544185,47.412732,863,2864,83,8,7,0,7,0,0,0,0,0,1,0,1
118,8.542726,47.379952,8.536101,47.371083,515,1105,8,2,32,0,16,3,0,0,0,0,0,0,1
119,8.537729,47.379719,8.520449,47.388151,663,1604,7,1,4,1,7,3,3,0,0,0,0,0,1
120,8.533314,47.37311,8.539882,47.374785,491,528,1,7,22,1,2,4,0,0,0,0,0,0,1
121,8.531935,47.384918,8.488108,47.391366,1058,3376,15,3,6,1,12,1,1,0,0,0,3,0,1
122,8.523548,47.371666,8.514176,47.366371,426,919,-19,7,11,0,17,0,0,0,0,0,0,0,1
123,8.520168,47.378556,8.531836,47.378548,544,879,5,1,7,1,19,0,0,0,0,0,1,1,1
124,8.528647,47.382083,8.514138,47.374206,614,1400,-13,9,19,0,10,3,0,1,0,0,2,0,1
125,8.536068,47.377502,8.523549,47.392347,305,1901,2,2,13,0,19,0,2,0,0,0,1,0,1
126,8.523548,47.371666,8.547781,47.361335,584,2157,8,0,9,1,10,2,4,0,1,0,0,0,1
127,8.53545,47.382798,8.536433,47.388689,1606,659,-24,10,9,0,8,0,1,0,0,0,5,0,1
128,8.58841,47.40158,8.596202,47.397885,458,716,-3,-3,7,1,7,0,0,0,0,0,8,0,1
129,8.523722,47.3899,8.531935,47.384918,243,830,-5,1,2,1,20,0,5,0,0,0,4,0,1
